Latitude: 47.4506578, Longitude: 9.8308227, Information Type: guidepost, Reference: VWW 1.01
Latitude: 47.4352167, Longitude: 9.8175268, Information Type: guidepost, Reference: VWW 1.42
Latitude: 47.4415356, Longitude: 9.8571146, Information Type: guidepost, Reference: VWW 1.23
Latitude: 47.4519950, Longitude: 9.8619884, Information Type: guidepost, Reference: VWW 1.25
Latitude: 47.4680755, Longitude: 9.8487716, Information Type: guidepost, Reference: VWW 1.20
Latitude: 47.4593355, Longitude: 9.8358257, Information Type: guidepost, Reference: 1.555.R
Latitude: 47.4797100, Longitude: 9.8375863, Information Type: guidepost, Reference: VWW 1.41
Latitude: 47.4513138, Longitude: 9.8276737, Information Type: guidepost, Reference: VWW 1.37
Latitude: 47.4558870, Longitude: 9.8335842, Information Type: guidepost, Reference: VWW 1.57
Latitude: 47.4534174, Longitude: 9.8441893, Information Type: guidepost, Reference: VWW 1.51
Latitude: 47.4545115, Longitude: 9.8422729, Information Type: guidepost, Reference: VWW 1.50
Latitude: 47.4584689, Longitude: 9.8506327, Information Type: guidepost, Reference: VWW 1.52
Latitude: 47.4574960, Longitude: 9.8555475, Information Type: guidepost, Reference: VWW 1.53
Latitude: 47.4549757, Longitude: 9.8557700, Information Type: guidepost, Reference: VWW 1.54
Latitude: 47.4666971, Longitude: 9.8160479, Information Type: guidepost, Reference: VWW 1.12
Latitude: 47.4668248, Longitude: 9.8150093, Information Type: guidepost, Reference: VWW 1.45
Latitude: 47.4712287, Longitude: 9.8333794, Information Type: guidepost, Reference: VWW 1.55
Latitude: 47.4413312, Longitude: 9.8489688, Information Type: guidepost, Reference: VWW 1.36
Latitude: 47.4427098, Longitude: 9.8530198, Information Type: guidepost, Reference: VWW 1.24
Latitude: 47.4471862, Longitude: 9.8698092, Information Type: guidepost, Reference: VWW 1.22
Latitude: 47.4543868, Longitude: 9.8584507, Information Type: guidepost, Reference: VWW 1.21
Latitude: 47.4519228, Longitude: 9.8798968, Information Type: guidepost, Reference: VWW 1.27
Latitude: 47.4521867, Longitude: 9.8799394, Information Type: guidepost, Reference: VWW 1.28
Latitude: 47.4537552, Longitude: 9.8809618, Information Type: guidepost, Reference: VWW 1.29
Latitude: 47.4553192, Longitude: 9.8784074, Information Type: guidepost, Reference: VWW 1.30
Latitude: 47.4622956, Longitude: 9.8240070, Information Type: guidepost, Reference: VWW 1.10
Latitude: 47.4676109, Longitude: 9.8309501, Information Type: guidepost, Reference: VWW 1.15
Latitude: 47.4695588, Longitude: 9.8473852, Information Type: guidepost, Reference: VWW 1.19
Latitude: 47.4652572, Longitude: 9.8355728, Information Type: guidepost, Reference: VWW 1.18
Latitude: 47.4656094, Longitude: 9.8344194, Information Type: guidepost, Reference: VWW 1.17
Latitude: 47.4685739, Longitude: 9.8296537, Information Type: guidepost, Reference: VWW 1.14
Latitude: 47.4734460, Longitude: 9.8360500, Information Type: guidepost, Reference: VWW 1.16
Latitude: 47.4693529, Longitude: 9.8300465, Information Type: guidepost, Reference: VWW 1.40
Latitude: 47.4704871, Longitude: 9.8234466, Information Type: guidepost, Reference: VWW 1.13
Latitude: 47.4586447, Longitude: 9.8487452, Information Type: guidepost, Reference: VWW 1.05
Latitude: 47.4594151, Longitude: 9.8368107, Information Type: guidepost, Reference: VWW 1.04
Latitude: 47.4549831, Longitude: 9.8302718, Information Type: guidepost, Reference: VWW 1.09
Latitude: 47.4571734, Longitude: 9.8232995, Information Type: guidepost, Reference: VWW 1.38
Latitude: 47.4376627, Longitude: 9.8345346, Information Type: guidepost, Reference: VWW 1.47
Latitude: 47.4566073, Longitude: 9.8479612, Information Type: guidepost, Reference: VWW 1.06
Latitude: 47.4537967, Longitude: 9.8469929, Information Type: guidepost, Reference: VWW 1.07
Latitude: 47.4503880, Longitude: 9.8384558, Information Type: guidepost, Reference: VWW 1.39
Latitude: 47.4513499, Longitude: 9.8367453, Information Type: guidepost, Reference: VWW 1.08
Latitude: 47.4507664, Longitude: 9.8303748, Information Type: guidepost, Reference: VWW 1.03
Latitude: 47.4347926, Longitude: 9.8245417, Information Type: guidepost, Reference: VWW 1.35
Latitude: 47.4479039, Longitude: 9.8340038, Information Type: guidepost, Reference: VWW 1.46
Latitude: 47.4503376, Longitude: 9.8312766, Information Type: guidepost, Reference: VWW 1.02
Latitude: 47.4499118, Longitude: 9.8312216, Information Type: guidepost, Reference: VWW 1.31
Latitude: 47.4463175, Longitude: 9.8189751, Information Type: guidepost, Reference: VWW 1.43
Latitude: 47.4494306, Longitude: 9.8096078, Information Type: guidepost, Reference: VWW 1.44
Latitude: 47.4528221, Longitude: 9.8736403, Information Type: guidepost, Reference: VWW 1.26
Latitude: 47.4644285, Longitude: 9.8185557, Information Type: guidepost, Reference: VWW 1.11
Latitude: 47.4720570, Longitude: 9.8334859, Information Type: guidepost, Reference: 1.553.R
Latitude: 47.4587396, Longitude: 9.8484213, Information Type: guidepost, Reference: 1.558.R
Latitude: 47.4597848, Longitude: 9.8385855, Information Type: guidepost, Reference: 1.556.R
Latitude: 47.4586241, Longitude: 9.8487486, Information Type: guidepost, Reference: 1.559.R
Latitude: 47.4657355, Longitude: 9.8516221, Information Type: guidepost, Reference: 1.561.R
Latitude: 47.4564743, Longitude: 9.8474489, Information Type: guidepost, Reference: 1.560.R
Latitude: 47.4578390, Longitude: 9.8428795, Information Type: guidepost, Reference: 1.557.R
Latitude: 47.4593665, Longitude: 9.8358787, Information Type: guidepost, Reference: 1.1538.R
Latitude: 47.4773619, Longitude: 9.8320742, Information Type: guidepost, Reference: 1.552.R
Latitude: 47.4656249, Longitude: 9.8344691, Information Type: guidepost, Reference: 1.554.R
Latitude: 47.4703040, Longitude: 9.8589687, Information Type: guidepost, Reference: 1.562.R
Latitude: 47.4720543, Longitude: 9.8334751, Information Type: guidepost, Reference: 1.56M
Latitude: 47.4545094, Longitude: 9.8422564, Information Type: guidepost, Reference: 1.50M
Latitude: 47.4560416, Longitude: 9.8332394, Information Type: guidepost, Reference: 1.57W
Latitude: 47.4513507, Longitude: 9.8367496, Information Type: guidepost, Reference: 1.08W
Latitude: 47.4507664, Longitude: 9.8303748, Information Type: guidepost, Reference: 1.03W
Latitude: 47.4676109, Longitude: 9.8309501, Information Type: guidepost, Reference: 1.15W
Latitude: 47.4594151, Longitude: 9.8368107, Information Type: guidepost, Reference: 1.04W
Latitude: 47.4503341, Longitude: 9.8312725, Information Type: guidepost, Reference: 1.02W
Latitude: 47.4568477, Longitude: 9.8485997, Information Type: guidepost, Reference: 1.06W
Latitude: 47.4549757, Longitude: 9.8557700, Information Type: guidepost, Reference: 1.48W
Latitude: 47.4506287, Longitude: 9.8308793, Information Type: guidepost, Reference: 1.01W
Latitude: 47.4772991, Longitude: 9.8320248, Information Type: guidepost, Reference: 1.49W
Latitude: 47.4543868, Longitude: 9.8584507, Information Type: guidepost, Reference: 1.21W
Latitude: 47.4471862, Longitude: 9.8698092, Information Type: guidepost, Reference: 1.22W
Latitude: 47.4427098, Longitude: 9.8530198, Information Type: guidepost, Reference: 1.24W
Latitude: 47.4415259, Longitude: 9.8571378, Information Type: guidepost, Reference: 1.23W
Latitude: 47.4521867, Longitude: 9.8799394, Information Type: guidepost, Reference: 1.28M
Latitude: 47.4503376, Longitude: 9.8312766, Information Type: guidepost, Reference: 1.02M
Latitude: 47.4415272, Longitude: 9.8571406, Information Type: guidepost, Reference: 1.23M
Latitude: 47.4471862, Longitude: 9.8698092, Information Type: guidepost, Reference: 1.22M
Latitude: 47.4543868, Longitude: 9.8584507, Information Type: guidepost, Reference: 1.21M
Latitude: 47.4560416, Longitude: 9.8332394, Information Type: guidepost, Reference: 1.57M
