Latitude: 47.2582327, Longitude: 9.6110642, Information Type: guidepost, Reference: VWW 25.046
Latitude: 47.2589482, Longitude: 9.6263280, Information Type: guidepost, Reference: VWW 25.015
Latitude: 47.2402295, Longitude: 9.6031412, Information Type: guidepost, Reference: VWW 25.001
Latitude: 47.2413935, Longitude: 9.6033995, Information Type: guidepost, Reference: VWW 25.002
Latitude: 47.2366132, Longitude: 9.6007655, Information Type: guidepost, Reference: VWW 25.003
Latitude: 47.2405847, Longitude: 9.6057918, Information Type: guidepost, Reference: VWW 25.004
Latitude: 47.2423253, Longitude: 9.6114418, Information Type: guidepost, Reference: VWW 25.005
Latitude: 47.2474193, Longitude: 9.6165183, Information Type: guidepost, Reference: VWW 25.006
Latitude: 47.2479547, Longitude: 9.6174758, Information Type: guidepost, Reference: VWW 25.007
Latitude: 47.2588895, Longitude: 9.6258276, Information Type: guidepost, Reference: VWW 25.015
Latitude: 47.2437751, Longitude: 9.6109001, Information Type: guidepost, Reference: VWW 25.009
Latitude: 47.2453439, Longitude: 9.6125334, Information Type: guidepost, Reference: VWW 25.010
Latitude: 47.2439996, Longitude: 9.6132187, Information Type: guidepost, Reference: VWW 25.011
Latitude: 47.2509107, Longitude: 9.6195288, Information Type: guidepost, Reference: VWW 25.012
Latitude: 47.2521672, Longitude: 9.6191614, Information Type: guidepost, Reference: VWW 25.013
Latitude: 47.2549371, Longitude: 9.6216173, Information Type: guidepost, Reference: VWW 25.014
Latitude: 47.2533323, Longitude: 9.6243738, Information Type: guidepost, Reference: VWW 25.016
Latitude: 47.2359404, Longitude: 9.5987022, Information Type: guidepost, Reference: VWW 25.020
Latitude: 47.2348479, Longitude: 9.5982134, Information Type: guidepost, Reference: VWW 25.021
Latitude: 47.2342824, Longitude: 9.5986431, Information Type: guidepost, Reference: VWW 25.022
Latitude: 47.2361562, Longitude: 9.5950073, Information Type: guidepost, Reference: VWW 25.023
Latitude: 47.2377055, Longitude: 9.5917187, Information Type: guidepost, Reference: VWW 25.024
Latitude: 47.2380911, Longitude: 9.5928771, Information Type: guidepost, Reference: VWW 25.025
Latitude: 47.2386323, Longitude: 9.5963008, Information Type: guidepost, Reference: VWW 25.029
Latitude: 47.2398066, Longitude: 9.5967303, Information Type: guidepost, Reference: VWW 25.030
Latitude: 47.2405421, Longitude: 9.5968870, Information Type: guidepost, Reference: VWW 25.031
Latitude: 47.2428440, Longitude: 9.6004461, Information Type: guidepost, Reference: VWW 25.033
Latitude: 47.2431138, Longitude: 9.6020075, Information Type: guidepost, Reference: VWW 25.034
Latitude: 47.2465865, Longitude: 9.5967302, Information Type: guidepost, Reference: VWW 25.036
Latitude: 47.2463067, Longitude: 9.5991045, Information Type: guidepost, Reference: VWW 25.037
Latitude: 47.2505348, Longitude: 9.6050273, Information Type: guidepost, Reference: VWW 25.038
Latitude: 47.2503893, Longitude: 9.6104769, Information Type: guidepost, Reference: VWW 25.039
Latitude: 47.2513038, Longitude: 9.6115712, Information Type: guidepost, Reference: VWW 25.040
Latitude: 47.2522310, Longitude: 9.6085058, Information Type: guidepost, Reference: VWW 25.041
Latitude: 47.2540486, Longitude: 9.6137453, Information Type: guidepost, Reference: VWW 25.042
Latitude: 47.2594632, Longitude: 9.6233180, Information Type: guidepost, Reference: VWW 25.043
Latitude: 47.2608786, Longitude: 9.6187969, Information Type: guidepost, Reference: VWW 25.044
Latitude: 47.2579640, Longitude: 9.6112721, Information Type: guidepost, Reference: VWW 25.047
Latitude: 47.2570328, Longitude: 9.6068251, Information Type: guidepost, Reference: VWW 25.048
Latitude: 47.2553216, Longitude: 9.6096124, Information Type: guidepost, Reference: VWW 25.049
Latitude: 47.2542519, Longitude: 9.6047946, Information Type: guidepost, Reference: VWW 25.050
Latitude: 47.2566360, Longitude: 9.5998823, Information Type: guidepost, Reference: VWW 25.051
Latitude: 47.2513785, Longitude: 9.5974157, Information Type: guidepost, Reference: VWW 25.052
Latitude: 47.2477432, Longitude: 9.5973897, Information Type: guidepost, Reference: VWW 25.053
Latitude: 47.2501660, Longitude: 9.6124279, Information Type: guidepost, Reference: VWW 25.055
Latitude: 47.2564551, Longitude: 9.6187742, Information Type: guidepost, Reference: VWW 25.056
Latitude: 47.2571494, Longitude: 9.5962766, Information Type: guidepost, Reference: VWW 25.061
Latitude: 47.2589966, Longitude: 9.5969875, Information Type: guidepost, Reference: VWW 25.062
Latitude: 47.2342093, Longitude: 9.5938592, Information Type: guidepost, Reference: VWW 25.170
Latitude: 47.2433049, Longitude: 9.5957055, Information Type: guidepost, Reference: VWW 25.032
Latitude: 47.2451311, Longitude: 9.5760734, Information Type: guidepost, Reference: VWW 25.141
Latitude: 47.2438409, Longitude: 9.5729423, Information Type: guidepost, Reference: VWW 25.142
Latitude: 47.2462095, Longitude: 9.5708273, Information Type: guidepost, Reference: VWW 25.134
Latitude: 47.2467442, Longitude: 9.5713849, Information Type: guidepost, Reference: VWW 25.133
Latitude: 47.2433035, Longitude: 9.5671543, Information Type: guidepost, Reference: VWW 25.130
Latitude: 47.2266633, Longitude: 9.5801675, Information Type: guidepost, Reference: VWW 25.179
Latitude: 47.2270424, Longitude: 9.5803631, Information Type: guidepost, Reference: VWW 25.178
Latitude: 47.2378296, Longitude: 9.5921678, Information Type: guidepost, Reference: VWW 25.054
Latitude: 47.2757595, Longitude: 9.5908724, Information Type: guidepost, Reference: VWW 25.071
Latitude: 47.2320054, Longitude: 9.5821917, Information Type: guidepost, Reference: VWW 25.164
Latitude: 47.2246204, Longitude: 9.5651999, Information Type: guidepost, Reference: VWW 25.161
Latitude: 47.2202271, Longitude: 9.5727717, Information Type: guidepost, Reference: VWW 25.180
Latitude: 47.2311998, Longitude: 9.5853171, Information Type: guidepost, Reference: VWW 25.174
Latitude: 47.2413539, Longitude: 9.6036198, Information Type: guidepost, Reference: VWW 25.057
Latitude: 47.2381073, Longitude: 9.5943644, Information Type: guidepost, Reference: VWW 25.035
Latitude: 47.2373747, Longitude: 9.5916602, Information Type: guidepost, Reference: VWW 25.045
Latitude: 47.2278393, Longitude: 9.5782892, Information Type: guidepost, Reference: VWW 25.158
Latitude: 47.2946548, Longitude: 9.5560528, Information Type: guidepost, Reference: VWW 25.101
Latitude: 47.2402596, Longitude: 9.5899262, Information Type: guidepost, Reference: VWW 25.167
Latitude: 47.2403379, Longitude: 9.5912634, Information Type: guidepost, Reference: VWW 25.027
Latitude: 47.2391668, Longitude: 9.5909202, Information Type: guidepost, Reference: VWW 25.026
