Latitude: 47.3323056, Longitude: 10.0699625, Information Type: guidepost, Reference: VWW 76.71
Latitude: 47.3710791, Longitude: 10.0251936, Information Type: guidepost, Reference: VWW 6.62
Latitude: 47.3648806, Longitude: 10.0202691, Information Type: guidepost, Reference: VWW 6.63
Latitude: 47.3759976, Longitude: 10.0157308, Information Type: guidepost, Reference: VWW 6.57
Latitude: 47.3744977, Longitude: 10.0284386, Information Type: guidepost, Reference: VWW 6.61
Latitude: 47.3850670, Longitude: 9.9200327, Information Type: guidepost, Reference: VWW 6.20
Latitude: 47.3815633, Longitude: 9.9422769, Information Type: guidepost, Reference: VWW 6.37
Latitude: 47.3839061, Longitude: 9.9262051, Information Type: guidepost, Reference: VWW 6.36
Latitude: 47.3839669, Longitude: 9.9258015, Information Type: guidepost, Reference: VWW 6.36
Latitude: 47.3851156, Longitude: 9.9178970, Information Type: guidepost, Reference: VWW 6.78
Latitude: 47.3819769, Longitude: 9.9683480, Information Type: guidepost, Reference: VWW 8.30
Latitude: 47.3802902, Longitude: 9.9632303, Information Type: guidepost, Reference: VWW 6.41
Latitude: 47.3775404, Longitude: 9.9493834, Information Type: guidepost, Reference: VWW 6.38
Latitude: 47.3767902, Longitude: 9.9479431, Information Type: guidepost, Reference: VWW 6.39
Latitude: 47.3832382, Longitude: 9.9180982, Information Type: guidepost, Reference: VWW 6.18
Latitude: 47.3836632, Longitude: 9.9177709, Information Type: guidepost, Reference: VWW 6.17
Latitude: 47.3851042, Longitude: 9.9191784, Information Type: guidepost, Reference: VWW 6.21
Latitude: 47.3832736, Longitude: 9.9195549, Information Type: guidepost, Reference: VWW 6.19
Latitude: 47.3932596, Longitude: 9.9307369, Information Type: guidepost, Reference: VWW 6.43
Latitude: 47.3933162, Longitude: 9.9319148, Information Type: guidepost, Reference: VWW 6.46
Latitude: 47.3896507, Longitude: 9.9911506, Information Type: guidepost, Reference: VWW 6.52
Latitude: 47.3903970, Longitude: 9.9791531, Information Type: guidepost, Reference: VWW 6.84
Latitude: 47.3804631, Longitude: 9.8885141, Information Type: guidepost, Reference: VWW 6.13
Latitude: 47.3823478, Longitude: 9.8988122, Information Type: guidepost, Reference: VWW 6.06
Latitude: 47.3841228, Longitude: 9.9014552, Information Type: guidepost, Reference: VWW 6.02
Latitude: 47.3846338, Longitude: 9.9015301, Information Type: guidepost, Reference: VWW 6.01
Latitude: 47.3922668, Longitude: 9.9641288, Information Type: guidepost, Reference: VWW 6.49
Latitude: 47.3934414, Longitude: 9.9328654, Information Type: guidepost, Reference: VWW 6.85
Latitude: 47.3884737, Longitude: 9.9335556, Information Type: guidepost, Reference: VWW 6.92
Latitude: 47.3928062, Longitude: 9.9329642, Information Type: guidepost, Reference: VWW 6.91
Latitude: 47.3802443, Longitude: 9.9064272, Information Type: guidepost, Reference: VWW 6.93
Latitude: 47.3780080, Longitude: 9.9152684, Information Type: guidepost, Reference: VWW 6.94
Latitude: 47.3833421, Longitude: 10.0109893, Information Type: guidepost, Reference: VWW 6.96
Latitude: 47.3928696, Longitude: 9.9481730, Information Type: guidepost, Reference: VWW 6.90
Latitude: 47.3753657, Longitude: 9.9360466, Information Type: guidepost, Reference: VWW 6.89
Latitude: 47.3745201, Longitude: 9.9480904, Information Type: guidepost, Reference: VWW 6.40
Latitude: 47.3754815, Longitude: 9.8995616, Information Type: guidepost, Reference: VWW 6.10
Latitude: 47.3774367, Longitude: 9.8896010, Information Type: guidepost, Reference: VWW 6.12
Latitude: 47.3859029, Longitude: 9.9044631, Information Type: guidepost, Reference: VWW 6.26
Latitude: 47.3863281, Longitude: 9.9042968, Information Type: guidepost, Reference: VWW 6.25
Latitude: 47.3873708, Longitude: 9.8849153, Information Type: guidepost, Reference: VWW 6.27
Latitude: 47.3877312, Longitude: 9.8846928, Information Type: guidepost, Reference: VWW 6.28
Latitude: 47.3891195, Longitude: 9.8944435, Information Type: guidepost, Reference: VWW 6.30
Latitude: 47.3887649, Longitude: 9.8943266, Information Type: guidepost, Reference: VWW 6.29
Latitude: 47.3903918, Longitude: 9.9061775, Information Type: guidepost, Reference: VWW 6.33
Latitude: 47.3810096, Longitude: 9.9019510, Information Type: guidepost, Reference: VWW 6.81
Latitude: 47.3814540, Longitude: 9.9017215, Information Type: guidepost, Reference: VWW 6.04
Latitude: 47.3814754, Longitude: 9.8998136, Information Type: guidepost, Reference: VWW 6.05
Latitude: 47.3816694, Longitude: 9.8980426, Information Type: guidepost, Reference: VWW 6.07
Latitude: 47.3800502, Longitude: 9.8968456, Information Type: guidepost, Reference: VWW 6.08
Latitude: 47.3850931, Longitude: 9.9174904, Information Type: guidepost, Reference: VWW 6.79
Latitude: 47.3868501, Longitude: 9.9184080, Information Type: guidepost, Reference: VWW 6.22
Latitude: 47.3872049, Longitude: 9.9212146, Information Type: guidepost, Reference: VWW 6.23
Latitude: 47.3866060, Longitude: 9.9234305, Information Type: guidepost, Reference: VWW 6.35
Latitude: 47.3867799, Longitude: 9.9061843, Information Type: guidepost, Reference: VWW 6.24
