Latitude: 47.4842051, Longitude: 9.7426949, Information Type: guidepost, Reference: VWW 95.46
Latitude: 47.4829290, Longitude: 9.7475357, Information Type: guidepost, Reference: VWW 95.45
Latitude: 47.4791050, Longitude: 9.7565691, Information Type: guidepost, Reference: VWW 95.01
Latitude: 47.4732637, Longitude: 9.7608854, Information Type: guidepost, Reference: VWW 95.12
Latitude: 47.4686600, Longitude: 9.7684730, Information Type: guidepost, Reference: VWW 95.17
Latitude: 47.4734919, Longitude: 9.7544470, Information Type: guidepost, Reference: 95.452.R
Latitude: 47.4721842, Longitude: 9.7757039, Information Type: guidepost, Reference: VWW 95.14
Latitude: 47.4751001, Longitude: 9.7868674, Information Type: guidepost, Reference: VWW 95.15
Latitude: 47.4672487, Longitude: 9.7592588, Information Type: guidepost, Reference: VWW 95.27
Latitude: 47.4656589, Longitude: 9.7593131, Information Type: guidepost, Reference: VWW 95.28
Latitude: 47.4701708, Longitude: 9.7620150, Information Type: guidepost, Reference: VWW 95.60
Latitude: 47.4694015, Longitude: 9.7580531, Information Type: guidepost, Reference: VWW 95.22
Latitude: 47.4706098, Longitude: 9.7587585, Information Type: guidepost, Reference: VWW 95.10
Latitude: 47.4687455, Longitude: 9.7578800, Information Type: guidepost, Reference: VWW 95.23
Latitude: 47.4715687, Longitude: 9.7653812, Information Type: guidepost, Reference: VWW 95.11
Latitude: 47.4707769, Longitude: 9.7663381, Information Type: guidepost, Reference: VWW 95.61
Latitude: 47.4691571, Longitude: 9.7546701, Information Type: guidepost, Reference: VWW 95.21
Latitude: 47.4685780, Longitude: 9.7675055, Information Type: guidepost, Reference: VWW 95.16
Latitude: 47.4724578, Longitude: 9.7525853, Information Type: guidepost, Reference: VWW 95.08
Latitude: 47.4732037, Longitude: 9.7533331, Information Type: guidepost, Reference: VWW 95.07
Latitude: 47.4709404, Longitude: 9.7573338, Information Type: guidepost, Reference: VWW 95.09
Latitude: 47.4776675, Longitude: 9.7443708, Information Type: guidepost, Reference: VWW 95.54
Latitude: 47.4848091, Longitude: 9.7386100, Information Type: guidepost, Reference: VWW 95.57
Latitude: 47.4651117, Longitude: 9.7519141, Information Type: guidepost, Reference: VWW 95.26
Latitude: 47.4650894, Longitude: 9.7516190, Information Type: guidepost, Reference: VWW 95.25
Latitude: 47.4674112, Longitude: 9.7514869, Information Type: guidepost, Reference: VWW 95.20
Latitude: 47.4672821, Longitude: 9.7506559, Information Type: guidepost, Reference: VWW 95.19
Latitude: 47.4695531, Longitude: 9.7515238, Information Type: guidepost, Reference: VWW 95.18
Latitude: 47.4730270, Longitude: 9.7402080, Information Type: guidepost, Reference: VWW 95.56
Latitude: 47.4730733, Longitude: 9.7391745, Information Type: guidepost, Reference: VWW 49.20
Latitude: 47.4834615, Longitude: 9.7364953, Information Type: guidepost, Reference: VWW 95.58
Latitude: 47.4690140, Longitude: 9.7447639, Information Type: guidepost, Reference: VWW 95.48
Latitude: 47.4569501, Longitude: 9.7559513, Information Type: guidepost, Reference: VWW 95.59
Latitude: 47.4747233, Longitude: 9.7634610, Information Type: guidepost, Reference: VWW 95.04
Latitude: 47.4728758, Longitude: 9.7662068, Information Type: guidepost, Reference: VWW 95.13
