Latitude: 47.4133054, Longitude: 9.9087814, Information Type: guidepost, Reference: VWW 3.23
Latitude: 47.4118351, Longitude: 9.8942072, Information Type: guidepost, Reference: N/A
Latitude: 47.4119372, Longitude: 9.8942003, Information Type: guidepost, Reference: 3.1127.R
Latitude: 47.4085161, Longitude: 9.8776944, Information Type: guidepost, Reference: VWW 3.09
Latitude: 47.4101000, Longitude: 9.8780477, Information Type: guidepost, Reference: VWW 3.07
Latitude: 47.4089367, Longitude: 9.8806557, Information Type: guidepost, Reference: VWW 3.08
Latitude: 47.4073213, Longitude: 9.8841239, Information Type: guidepost, Reference: VWW 3.19
Latitude: 47.4046553, Longitude: 9.8861777, Information Type: guidepost, Reference: VWW 3.18
Latitude: 47.4032790, Longitude: 9.8839200, Information Type: guidepost, Reference: VWW 3.17
Latitude: 47.4028421, Longitude: 9.8835605, Information Type: guidepost, Reference: VWW 3.16
Latitude: 47.3956242, Longitude: 9.8798054, Information Type: guidepost, Reference: VWW 3.26
Latitude: 47.3909869, Longitude: 9.8856534, Information Type: guidepost, Reference: VWW 3.27
Latitude: 47.3911225, Longitude: 9.8831825, Information Type: guidepost, Reference: VWW 3.47
Latitude: 47.3924114, Longitude: 9.8782170, Information Type: guidepost, Reference: VWW 3.28
Latitude: 47.3959813, Longitude: 9.8756686, Information Type: guidepost, Reference: VWW 3.31
Latitude: 47.3982023, Longitude: 9.8659690, Information Type: guidepost, Reference: VWW 3.25
Latitude: 47.3980302, Longitude: 9.8621771, Information Type: guidepost, Reference: N/A
Latitude: 47.3975873, Longitude: 9.8603676, Information Type: guidepost, Reference: N/A
Latitude: 47.3983569, Longitude: 9.8542662, Information Type: guidepost, Reference: VWW 3.20
Latitude: 47.3988475, Longitude: 9.8536669, Information Type: guidepost, Reference: VWW 3.24
Latitude: 47.4132209, Longitude: 9.8951910, Information Type: guidepost, Reference: VWW 3.01
Latitude: 47.3987028, Longitude: 9.8531333, Information Type: guidepost, Reference: VWW 3.58
Latitude: 47.4029955, Longitude: 9.9385391, Information Type: guidepost, Reference: VWW 3.38
Latitude: 47.3991440, Longitude: 9.9534101, Information Type: guidepost, Reference: VWW 3.39
Latitude: 47.3991989, Longitude: 9.9373665, Information Type: guidepost, Reference: VWW 3.40
Latitude: 47.4210282, Longitude: 9.8920210, Information Type: guidepost, Reference: VWW 3.04
Latitude: 47.4133061, Longitude: 9.8874167, Information Type: guidepost, Reference: VWW 3.06
Latitude: 47.4132149, Longitude: 9.8898656, Information Type: guidepost, Reference: VWW 3.05
Latitude: 47.4233793, Longitude: 9.8935983, Information Type: guidepost, Reference: VWW 3.03
Latitude: 47.4012096, Longitude: 9.9381785, Information Type: guidepost, Reference: VWW 3.37
Latitude: 47.3964605, Longitude: 9.9670232, Information Type: guidepost, Reference: VWW 3.49
Latitude: 47.4049463, Longitude: 9.8780736, Information Type: guidepost, Reference: VWW 3.60
Latitude: 47.3993138, Longitude: 9.8546709, Information Type: guidepost, Reference: VWW 3.56
Latitude: 47.3993103, Longitude: 9.9472867, Information Type: guidepost, Reference: VWW 3.59
Latitude: 47.4046533, Longitude: 9.8710278, Information Type: guidepost, Reference: VWW 3.12
Latitude: 47.4014873, Longitude: 9.8671942, Information Type: guidepost, Reference: VWW 3.13
Latitude: 47.4008938, Longitude: 9.8672985, Information Type: guidepost, Reference: VWW 3.57
Latitude: 47.4032658, Longitude: 9.8772575, Information Type: guidepost, Reference: VWW 3.11
Latitude: 47.4020926, Longitude: 9.8790937, Information Type: guidepost, Reference: VWW 3.15
Latitude: 47.4006340, Longitude: 9.8731081, Information Type: guidepost, Reference: VWW 3.14
Latitude: 47.3946997, Longitude: 9.8649649, Information Type: guidepost, Reference: VWW 3.30
Latitude: 47.3935571, Longitude: 9.8706553, Information Type: guidepost, Reference: VWW 3.29
Latitude: 47.3988932, Longitude: 9.9072193, Information Type: guidepost, Reference: VWW 3.43
Latitude: 47.3992674, Longitude: 9.9279515, Information Type: guidepost, Reference: VWW 3.42
Latitude: 47.4067957, Longitude: 9.9273292, Information Type: guidepost, Reference: VWW 3.45
Latitude: 47.4070469, Longitude: 9.9281305, Information Type: guidepost, Reference: VWW 3.44
Latitude: 47.4039430, Longitude: 9.9253882, Information Type: guidepost, Reference: VWW 3.35
Latitude: 47.4166663, Longitude: 9.9220194, Information Type: guidepost, Reference: VWW 3.33
Latitude: 47.4051161, Longitude: 9.8932156, Information Type: guidepost, Reference: VWW 3.21
Latitude: 47.4136884, Longitude: 9.9101291, Information Type: guidepost, Reference: VWW 3.32
Latitude: 47.4101903, Longitude: 9.8789458, Information Type: guidepost, Reference: VWW 3.07
Latitude: 47.4233478, Longitude: 9.8978868, Information Type: guidepost, Reference: VWW 3.02
Latitude: 47.4065109, Longitude: 9.8780737, Information Type: guidepost, Reference: VWW 3.10
Latitude: 47.4135031, Longitude: 9.8953102, Information Type: guidepost, Reference: VWW 3.55
Latitude: 47.4115377, Longitude: 9.9051420, Information Type: guidepost, Reference: VWW 3.22
Latitude: 47.4076426, Longitude: 9.9037763, Information Type: guidepost, Reference: VWW 3.46
Latitude: 47.3981306, Longitude: 9.9293789, Information Type: guidepost, Reference: VWW 3.51
Latitude: 47.4005820, Longitude: 9.9312351, Information Type: guidepost, Reference: VWW 3.36
Latitude: 47.3994791, Longitude: 9.9347336, Information Type: guidepost, Reference: VWW 3.41
Latitude: 47.3960771, Longitude: 9.9464686, Information Type: guidepost, Reference: VWW 3.50
Latitude: 47.3960972, Longitude: 9.9653604, Information Type: guidepost, Reference: VWW 3.48
Latitude: 47.3944254, Longitude: 9.9752890, Information Type: guidepost, Reference: VWW 6.51
Latitude: 47.3997503, Longitude: 9.9688514, Information Type: guidepost, Reference: VWW 23.53
Latitude: 47.3992405, Longitude: 9.9712950, Information Type: guidepost, Reference: VWW 23.54
Latitude: 47.3999919, Longitude: 9.8552905, Information Type: guidepost, Reference: 3.1132.R
Latitude: 47.4021722, Longitude: 9.8791356, Information Type: guidepost, Reference: 3.1129.R
Latitude: 47.3988010, Longitude: 9.8530965, Information Type: guidepost, Reference: 3.1133.R
Latitude: 47.4131015, Longitude: 9.8951681, Information Type: guidepost, Reference: 3.1126.R
Latitude: 47.3987864, Longitude: 9.8530959, Information Type: guidepost, Reference: 3.1534.R
Latitude: 47.4119539, Longitude: 9.8942515, Information Type: guidepost, Reference: 3.1535.R
Latitude: 47.4022169, Longitude: 9.8789816, Information Type: guidepost, Reference: 3.1130.R
Latitude: 47.4132231, Longitude: 9.8952161, Information Type: guidepost, Reference: 3.1125.R
Latitude: 47.4015563, Longitude: 9.8670906, Information Type: guidepost, Reference: 3.1131.R
Latitude: 47.4143092, Longitude: 9.8974399, Information Type: guidepost, Reference: 3.1124.R
Latitude: 47.4148827, Longitude: 9.8979242, Information Type: guidepost, Reference: 3.1123.R
Latitude: 47.4032984, Longitude: 9.8838526, Information Type: guidepost, Reference: 3.1128.R
Latitude: 47.3896851, Longitude: 9.8542161, Information Type: guidepost, Reference: 3.1134.R
Latitude: 47.4029725, Longitude: 9.9385393, Information Type: guidepost, Reference: 3.38W
Latitude: 47.3992480, Longitude: 9.9372271, Information Type: guidepost, Reference: 3.40W
Latitude: 47.4115377, Longitude: 9.9051420, Information Type: guidepost, Reference: 3.22W
